cardId,name,issuer,network,currency,isBusiness,annualFee,isAnnualFeeWaived,universalCashbackPercent,url,imageUrl,credits,offers,historicalOffers,discontinued,offerAmount,offerSpend,offerUrl,offerDays,countsTowards524
7eb93f5f9ab64e1c12b82ec8822c25ef,Platinum (Schwab),AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,695,false,1,https://www.schwab.com/credit-cards#panel--50-media-right-117911,https://offeroptimist.com/images/amex/platinum-schwab.webp,200 Hotel Credit; 200 $20/mo Digital Entertainment Credit; 200 $15/mo Uber Cash; 200 Airline Fee Credit; 155 Walmart+ Credit; 189 CLEAR Credit,,,false,80000,8000,,180,true
ab55a96910ffc7f31fc1605c99430ec5,Platinum (Morgan Stanley),AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,695,false,1,https://apply.americanexpress.com/amex-morgan-stanley-credit-cards/,https://offeroptimist.com/images/amex/platinum-morgan-stanley.webp,200 Hotel Credit; 200 $20/mo Digital Entertainment Credit; 200 $15/mo Uber Cash; 200 Airline Fee Credit; 155 Walmart+ Credit; 189 CLEAR Credit,,,false,150000,8000,,180,true
ab55a96910ffc7f31fc1605c99430ec5,Platinum (Morgan Stanley),AMERICAN_EXPRESS,AMERICAN_EXPRESS,AMERICAN_EXPRESS,false,695,false,1,https://apply.americanexpress.com/amex-morgan-stanley-credit-cards/,https://offeroptimist.com/images/amex/platinum-morgan-stanley.webp,200 Hotel Credit; 200 $20/mo Digital Entertainment Credit; 200 $15/mo Uber Cash; 200 Airline Fee Credit; 155 Walmart+ Credit; 189 CLEAR Credit,,,false,80000,8000,,180,true
653b14a655f4edc9bfc0332e9370e139,Marriott Bonvoy Bevy,AMERICAN_EXPRESS,AMERICAN_EXPRESS,MARRIOTT,false,250,false,1,https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-bevy/,https://offeroptimist.com/images/amex/marriott-bonvoy-bevy.png,,,,false,135000,7000,,180,true
a3b091353bd1a45ad58f75e5287f1fd6,Schwab Investor,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,false,0,false,1,https://www.schwab.com/public/schwab/investing/accounts_products/credit_cards,https://offeroptimist.com/images/amex/schwab-investor.webp,,,,false,300,1000,,90,true
15cc2b7c31596c0112cfba30180ab739,Amazon Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,true,0,false,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amazon-business-card/,https://offeroptimist.com/images/amex/amazon-business.avif,,,,false,400,4000,https://www.amazon.com/Amazon-Business-American-Express-Card/dp/B07984JN3L,90,false
15cc2b7c31596c0112cfba30180ab739,Amazon Business,AMERICAN_EXPRESS,AMERICAN_EXPRESS,USD,true,0,false,1,https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/amazon-business-card/,https://offeroptimist.com/images/amex/amazon-business.avif,,,,false,100,0.01,,90,false
f2d769efdbe2b9d8734787bc24297be6,Air France KLM,BANK_OF_AMERICA,MASTERCARD,FLYING_BLUE,false,89,false,1,https://wwws.airfrance.us/information/flyingblue/carte-bancaire-partenaire,https://offeroptimist.com/images/bankofamerica/air-france-klm.webp,,,,false,70000,3000,,90,true
f2d769efdbe2b9d8734787bc24297be6,Air France KLM,BANK_OF_AMERICA,MASTERCARD,FLYING_BLUE,false,89,false,1,https://wwws.airfrance.us/information/flyingblue/carte-bancaire-partenaire,https://offeroptimist.com/images/bankofamerica/air-france-klm.webp,,,,false,60000,2000,,90,true
e0971b7dcda10c271490b0443da30484,Alaska Airlines,BANK_OF_AMERICA,VISA,ALASKA,false,95,false,1,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/,https://offeroptimist.com/images/bankofamerica/alaska-airlines.png,200 Companion Fare,,,false,75000,3000,http://alaska75k.com/,90,true
e0971b7dcda10c271490b0443da30484,Alaska Airlines,BANK_OF_AMERICA,VISA,ALASKA,false,95,false,1,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/,https://offeroptimist.com/images/bankofamerica/alaska-airlines.png,200 Companion Fare,,,false,60000,3000,,90,true
bdb66e9a6c5b5d1ccf5120a6c3e30851,Alaska Airlines Business,BANK_OF_AMERICA,VISA,ALASKA,true,75,false,1,https://www.alaskaair.com/content/credit-card/visa-small-business-card,https://offeroptimist.com/images/bankofamerica/alaska-airlines-business.png,50 Free checked bag; 100 Companion fee,,,false,60000,3000,,90,false
f2461735a56702c428c209486e2f9e55,Customized Cash Rewards,BANK_OF_AMERICA,VISA,USD,false,0,false,1,https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/,https://offeroptimist.com/images/bankofamerica/customized-cash-rewards.jpg,,,,false,200,1000,,90,true
eb8bc1a6f86dc471aa0deeca619fbf59,Premium Rewards,BANK_OF_AMERICA,VISA,BANK_OF_AMERICA,false,95,false,1,https://www.bankofamerica.com/credit-cards/products/premium-rewards-credit-card/,https://offeroptimist.com/images/bankofamerica/premium-rewards.png,,,,false,60000,4000,,90,true
