name,issuer,network,currency,offerAmount,offerSpend,offerDays,offerUrl,countsTowards524,details,isBusiness,annualFee,isAnnualFeeWaived,universalCashbackPercent,url,imageUrl,credits
Schwab Investor,American Express,American Express,USD,200,1000,90,https://www.schwab.com/public/schwab/investing/accounts_products/credit_cards?ENTRY_POINT=IIAH,TRUE,,FALSE,0,FALSE,1,https://www.schwab.com/public/schwab/investing/accounts_products/credit_cards?ENTRY_POINT=IIAH,https://offeroptimist.com/images/amex/schwab-investor.webp,
Air France KLM,Bank of America,Mastercard,Flying Blue Miles,50000,2000,90,https://www.doctorofcredit.com/bank-of-america-air-france-klm-flyingblue-credit-card-70000-miles-signup-bonus-100-100-xp-bonus/,TRUE,,FALSE,89,FALSE,1,https://wwws.airfrance.us/information/flyingblue/carte-bancaire-partenaire,https://offeroptimist.com/images/bankofamerica/air-france-klm.webp,
Alaska Airlines,Bank of America,Visa,Alaska Airlines Miles,70000,2000,90,https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/,TRUE,,FALSE,75,FALSE,1,https://www.alaskaair.com/content/credit-card/visa-signature,https://offeroptimist.com/images/bankofamerica/alaska-airlines.png,$200 Companion Fare
Alaska Airlines Business,Bank of America,Visa,Alaska Airlines Miles,40000,2000,90,https://www.alaskaair.com/content/credit-card/visa-small-business-card,FALSE,,TRUE,75,FALSE,1,https://www.alaskaair.com/content/credit-card/visa-small-business-card,https://offeroptimist.com/images/bankofamerica/alaska-airlines-business.png,$50 Free checked bag; $100 Companion fee
Customized Cash Rewards,Bank of America,Visa,USD,200,1000,90,https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/,TRUE,,FALSE,0,FALSE,1,https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/,https://offeroptimist.com/images/bankofamerica/customized-cash-rewards.jpg,
Premium Rewards,Bank of America,Visa,Bank of America Points,50000,3000,90,https://www.bankofamerica.com/credit-cards/products/premium-rewards-credit-card/,TRUE,,FALSE,95,FALSE,1,https://www.bankofamerica.com/credit-cards/products/premium-rewards-credit-card/,https://offeroptimist.com/images/bankofamerica/premium-rewards.png,
Premium Rewards Elite,Bank of America,Visa,Bank of America Points,50000,3000,90,https://www.bankofamerica.com/credit-cards/products/premium-rewards-elite-credit-card/,TRUE,,FALSE,550,FALSE,1,https://www.bankofamerica.com/credit-cards/products/premium-rewards-elite-credit-card/,https://offeroptimist.com/images/bankofamerica/premium-rewards-elite.png,$300 Incidental Airline Statement Credits; $150 Annual $150 streaming delivery fitness and transit credit; $100 $100 credit for Global Entry or TSA PreCheck
Travel Rewards,Bank of America,Visa,Bank of America Points,25000,1000,90,https://www.bankofamerica.com/credit-cards/products/travel-rewards-credit-card/,TRUE,,FALSE,0,FALSE,1.5,https://www.bankofamerica.com/credit-cards/products/travel-rewards-credit-card/,https://offeroptimist.com/images/bankofamerica/travel-rewards.png,
Unlimited Cash Rewards,Bank of America,Visa,USD,200,1000,90,https://www.bankofamerica.com/credit-cards/products/unlimited-cash-back-credit-card/,TRUE,,FALSE,0,FALSE,1.5,https://www.bankofamerica.com/credit-cards/products/unlimited-cash-back-credit-card/,https://offeroptimist.com/images/bankofamerica/unlimited-cash-rewards.png,
Business Advantage Customized Cash,Bank of America,Mastercard,USD,300,1000,90,https://www.bankofamerica.com/smallbusiness/credit-cards/products/cash-rewards-business-credit-card/?campaign=4053371~X7~en_US,FALSE,,TRUE,0,FALSE,1.5,https://www.bankofamerica.com/smallbusiness/credit-cards/products/cash-rewards-business-credit-card/?campaign=4053371~X7~en_US,https://offeroptimist.com/images/bankofamerica/business-advantage-customized-cash.jpg,
